Company_Name,Rating,Industry_Type,Headquater_other_Locations,Total Reviews,AvgSalaries,Total_Interviews,Total_Jobs,Total_Benifits,Total_Photos
Sutherland Global Services,3.6,IT Services & Consulting,Chennai +65 other locations,6.7k,30.1k,616,118,974,29
Cipla,4.1,Pharma,Mumbai +253 other locations,6.7k,24.2k,474,63,915,18
Dr. Reddy's,4.1,Pharma,Hyderabad / Secunderabad +183 other locations,6.7k,24.2k,398,20,791,25
Bajaj Finance,4.0,NBFC,Pune +832 other locations,6.5k,20.8k,296,24,542,10
Wells Fargo,3.9,Financial Services,Bangalore / Bengaluru +22 other locations,6.2k,49.2k,563,162,923,11
ICICI Prudential Life Insurance,4.1,Insurance,Mumbai +471 other locations,6.1k,21.7k,378,41,638,8
Amazon Development Centre India,4.1,Internet,Hyderabad / Secunderabad +104 other locations,6.1k,32k,726,12,72,12
Jana Small Finance Bank,3.8,Banking,Bangalore / Bengaluru +371 other locations,6k,14.3k,244,46,635,14
Hindustan Unilever,4.2,FMCG,Mumbai +475 other locations,6k,21.3k,382,23,789,1
Equitas Small Finance Bank,4.5,Banking,Chennai +422 other locations,6k,11.9k,434,71,420,24
Delhivery,3.9,Logistics,Gurgaon / Gurugram +666 other locations,6k,18.7k,450,67,685,56
JPMorgan Chase & Co.,4.0,Financial Services,Bangalore / Bengaluru +40 other locations,5.9k,69.8k,754,674,920,14
Lupin,4.2,Pharma,Pune +179 other locations,5.9k,22.3k,332,101,836,9
Zydus Lifesciences,4.1,Pharma,Ahmedabad +160 other locations,5.9k,18.4k,300,25,712,20
L&T Construction,4.0,Engineering & Construction,Chennai +377 other locations,5.9k,18.5k,722,--,850,22
Hexaware Technologies,3.6,IT Services & Consulting,Chennai +56 other locations,5.7k,47.2k,717,108,606,25
Sun Pharmaceutical Industries,4.0,Pharma,Vadodara +220 other locations,5.7k,21.7k,387,152,658,13
JSW Steel,3.9,Iron & Steel,Ballari +157 other locations,5.6k,26.2k,569,80,657,26
ITC,3.9,FMCG,Bangalore / Bengaluru +330 other locations,5.5k,22.3k,544,24,700,8
Indian Army,4.7,Defence & Aerospace,New Delhi +342 other locations,5.4k,9.8k,149,--,774,8
HCL Group,3.6,IT Services & Consulting,Chennai +84 other locations,5.4k,51.7k,448,1,708,1
FIS,3.9,FinTech,Pune +50 other locations,5.4k,37.8k,478,200,776,16
KPMG India,3.5,Management Consulting,Bangalore / Bengaluru +92 other locations,5.3k,51.6k,798,985,797,6
Max Life Insurance,4.1,Insurance,New Delhi +432 other locations,5.3k,17.9k,304,205,527,6
Ujjivan Small Finance Bank,4.1,Banking,Bangalore / Bengaluru +477 other locations,5.2k,12.1k,225,39,602,21
IIFL Finance,4.0,NBFC,Mumbai +721 other locations,5.1k,14.6k,243,71,444,16
Oracle,3.7,Software Product,Bangalore / Bengaluru +52 other locations,5.1k,55.5k,897,1.4k,661,39
Tata Projects,4.2,Engineering & Construction,Mumbai +253 other locations,5.1k,20.1k,414,17,587,43
Ekart Logistics,4.0,Unknown,Bangalore / Bengaluru +662 other locations,5k,13.7k,297,--,449,62
Udaan,4.0,Internet,Bangalore / Bengaluru +345 other locations,5k,17.5k,335,12,793,12
Megha Engineering & Infrastructures,3.9,Engineering & Construction,Hyderabad / Secunderabad +336 other locations,4.9k,16.3k,429,16,575,22
Muthoot Finance,3.6,NBFC,Bangalore / Bengaluru +690 other locations,4.9k,12.4k,251,67,343,8
