Company_Name,Rating,Industry_Type,Headquater_other_Locations,Total Reviews,AvgSalaries,Total_Interviews,Total_Jobs,Total_Benifits,Total_Photos
UPL,4.1,Agro Chemicals,Ankleshwar +168 other locations,2.5k,10.7k,171,26,330,2
IDFC FIRST Bharat,4.5,Financial Services,Chennai +329 other locations,2.4k,4.5k,105,--,80,1
Amazon Transportation Services,4.2,Unknown,Hyderabad / Secunderabad +200 other locations,2.4k,6.9k,221,--,267,11
Zensar Technologies,3.7,IT Services & Consulting,Pune +24 other locations,2.4k,25.1k,259,569,283,24
Shoppers Stop,4.1,Retail,Mumbai +76 other locations,2.4k,7.1k,110,4,335,9
Torrent Pharmaceuticals,3.9,Pharma,Ahmedabad +106 other locations,2.4k,10k,123,36,341,3
UNO Minda,4.0,Auto Components,Pune +91 other locations,2.4k,9.4k,165,22,286,4
Varroc Group,3.7,Auto Components,Pune +57 other locations,2.4k,7.8k,171,3,162,4
Mankind Pharma,3.9,Unknown,New Delhi +217 other locations,2.4k,8.4k,190,33,266,19
Croma,4.0,Retail,Mumbai +163 other locations,2.4k,7.7k,122,53,198,4
Afcons Infrastructure,4.3,Engineering & Construction,Mumbai +107 other locations,2.4k,8k,202,4,329,9
Dilip Buildcon,4.0,Engineering & Construction,Bhopal +201 other locations,2.4k,8.1k,139,14,303,14
Bajaj Allianz General Insurance,3.9,Insurance,Pune +247 other locations,2.4k,8.9k,88,344,250,2
Walmart,3.8,Retail,Bangalore / Bengaluru +84 other locations,2.4k,16.9k,405,208,385,12
Flex,4.0,Electronics Manufacturing,Chennai +40 other locations,2.3k,16.8k,180,79,461,8
ElasticRun,3.5,Logistics,Pune +362 other locations,2.3k,6.3k,249,15,243,46
I Process Services,3.9,Unknown,Mumbai +346 other locations,2.3k,5.4k,90,--,135,1
HDFC Sales,4.0,Financial Services,Mumbai +297 other locations,2.3k,8.4k,165,23,203,--
Capita,3.6,IT Services & Consulting,Pune +27 other locations,2.3k,13.7k,144,61,349,3
Societe Generale Global Solution Centre,3.9,IT Services & Consulting,Bangalore / Bengaluru +19 other locations,2.3k,20.1k,252,19,320,--
Nokia,4.1,Telecom,Bangalore / Bengaluru +156 other locations,2.3k,14.8k,273,44,555,14
MSN Laboratories,3.7,Pharma,Hyderabad / Secunderabad +81 other locations,2.3k,8.4k,127,36,201,7
Statestreet HCL Services,3.3,BPO,Chennai +16 other locations,2.3k,16.2k,208,--,222,--
GATI-KWE,4.0,Logistics,Hyderabad / Secunderabad +155 other locations,2.3k,5.7k,86,3,298,11
Quest Global,3.6,IT Services & Consulting,Bangalore / Bengaluru +38 other locations,2.3k,18.2k,297,121,218,11
Apollo Tyres,4.0,Auto Components,Chennai +154 other locations,2.3k,9.4k,127,7,351,7
Barclays,3.8,Banking,Pune +32 other locations,2.3k,24.4k,273,--,281,27
Nestle,4.0,FMCG,Gurgaon / Gurugram +259 other locations,2.3k,9.4k,237,49,339,12
Fiserv,3.1,FinTech,Pune +32 other locations,2.3k,18.4k,168,28,345,11
Sammaan Capital Limited,3.8,NBFC,New Delhi +192 other locations,2.2k,7.7k,101,26,122,2
Suzlon Group,4.0,Power,Pune +115 other locations,2.2k,7.3k,127,17,337,5
Landmark Group,4.0,Retail,Bangalore / Bengaluru +151 other locations,2.2k,8.9k,143,15,275,8
AGS Health,4.0,Analytics & KPO,Chennai +47 other locations,2.2k,10.4k,158,22,293,--
IKS Health,3.6,BPO,Mumbai +23 other locations,2.2k,10k,230,29,246,--
Blue Dart Express,4.1,Logistics,Mumbai +247 other locations,2.2k,6.4k,100,1,240,9
PhonePe,4.0,FinTech,Bangalore / Bengaluru +274 other locations,2.2k,9.8k,302,128,199,6
BlackBuck,3.8,Internet,Bangalore / Bengaluru +336 other locations,2.2k,6.3k,172,7,251,12
Domino's Pizza,3.9,Unknown,New Delhi +228 other locations,2.2k,4.3k,90,--,396,12
Zomato,3.8,Internet,Gurgaon / Gurugram +193 other locations,2.2k,12.8k,316,6,237,12
Bajaj Electricals,4.0,Consumer Electronics & Appliances,Mumbai +206 other locations,2.2k,7.9k,120,33,309,9
Yazaki,3.8,Auto Components,Pune +76 other locations,2.1k,8.1k,131,1,281,1
Sterlite Technologies,3.8,Hardware & Networking,Aurangabad +89 other locations,2.1k,10.3k,163,27,225,8
G4S,4.0,Law Enforcement & Security,Gurgaon / Gurugram +142 other locations,2.1k,4.9k,95,1,243,13
Axis Direct,3.8,Financial Services,Mumbai +260 other locations,2.1k,5.5k,76,34,230,--
Britannia,4.0,FMCG,Bangalore / Bengaluru +250 other locations,2.1k,7.5k,162,2,266,8
DS Group,4.0,FMCG,Noida +227 other locations,2.1k,7k,143,26,219,5
KocharTech,4.0,IT Services & Consulting,Kolkata +24 other locations,2.1k,3.9k,68,39,608,6
Shree Cement,3.8,Building Material,Ajmer +220 other locations,2.1k,9.2k,150,--,236,11
Micro Labs,3.7,Pharma,Bangalore / Bengaluru +133 other locations,2.1k,9.4k,124,23,221,2
Fujitsu,3.8,IT Services & Consulting,Pune +35 other locations,2.1k,16k,183,51,204,18
Capgemini Engineering,3.5,IT Services & Consulting,Bangalore / Bengaluru +25 other locations,2.1k,17.2k,353,98,167,3
KPMG Global Services,3.6,Management Consulting,Bangalore / Bengaluru +33 other locations,2.1k,19.5k,219,--,29,--
XpressBees,3.7,Unknown,Pune +255 other locations,2.1k,7.6k,157,11,185,16
McDonald's,4.1,Unknown,New Delhi +140 other locations,2.1k,4.7k,130,3,426,2
Exide Industries,3.5,Auto Components,Kolkata +191 other locations,2.1k,7.8k,165,58,254,5
Mahindra Logistics,3.9,Logistics,Pune +142 other locations,2.1k,8.6k,119,10,226,18
Voltas,4.0,Consumer Electronics & Appliances,Mumbai +182 other locations,2.1k,8.2k,126,5,272,1
TVS Supply Chain Solutions,3.8,Unknown,Chennai +140 other locations,2.1k,8.2k,129,3,205,17
KFintech,3.5,Unknown,Hyderabad / Secunderabad +104 other locations,2.1k,10.1k,131,21,58,1
Patanjali Ayurved,4.0,FMCG,Haridwar +267 other locations,2.1k,6.4k,108,1,257,3
Indus Towers,3.8,Hardware & Networking,Gurgaon / Gurugram +182 other locations,2.1k,7.8k,173,36,216,11
ZS,3.4,Management Consulting,Pune +14 other locations,2.1k,16.3k,482,41,303,18
Tata Elxsi,3.9,IT Services & Consulting,Bangalore / Bengaluru +27 other locations,2.1k,18.7k,294,45,228,5
Fortis Healthcare,4.0,Healthcare,New Delhi +63 other locations,2.1k,7.2k,124,74,149,1
Huawei Technologies,4.0,Telecom,Bangalore / Bengaluru +103 other locations,2k,10.1k,114,--,306,1
Dalmia Bharat Cement,4.0,Building Material,Chennai +220 other locations,2k,8.2k,139,2,245,13
ACT Fibernet,4.0,Telecom,Hyderabad / Secunderabad +48 other locations,2k,7.4k,132,50,260,16
Tractors and Farm Equipment,4.1,Industrial Machinery,Chennai +172 other locations,2k,8.1k,101,6,297,7
VVDN Technologies,3.6,IT Services & Consulting,Gurgaon / Gurugram +36 other locations,2k,11.5k,192,11,150,12
SRF,4.2,Chemicals,Bharuch +56 other locations,2k,8k,174,24,285,4
Jindal Stainless,4.2,Iron & Steel,Jajpur +61 other locations,2k,9.8k,200,70,219,11
Taj Hotels Resorts and Palaces,4.2,Unknown,Mumbai +99 other locations,2k,4.8k,118,41,185,4
Shell,4.0,Oil & Gas,Bangalore / Bengaluru +81 other locations,2k,12.8k,191,1,275,7
Himalaya Wellness,4.1,Unknown,Bangalore / Bengaluru +209 other locations,2k,6k,107,6,279,7
Blue Star,4.1,Consumer Electronics & Appliances,Mumbai +138 other locations,2k,9.1k,158,16,257,18
NoBroker,3.2,Real Estate,Bangalore / Bengaluru +39 other locations,2k,9.1k,226,100,373,21
Movate,3.3,IT Services & Consulting,Chennai +32 other locations,2k,13.7k,248,45,26,24
Sonalika Tractors,3.7,Automobile,Hoshiarpur +163 other locations,2k,8.3k,126,--,199,4
Ajanta Pharma,4.0,Pharma,Mumbai +108 other locations,2k,8.4k,112,6,228,9
Simplex Infrastructures,3.3,Engineering & Construction,Kolkata +134 other locations,2k,5.8k,65,60,294,--
Lava International,4.1,Consumer Electronics & Appliances,Noida +216 other locations,2k,4.7k,68,9,316,3
V-Mart,4.2,Retail,Gurgaon / Gurugram +255 other locations,2k,4.2k,144,16,220,5
Xoriant,4.1,IT Services & Consulting,Pune +23 other locations,2k,11k,180,43,470,48
Cloudnine Hospital,4.4,Healthcare,Bangalore / Bengaluru +32 other locations,2k,2.5k,111,1,129,3
Blinkit,3.7,Internet,Gurgaon / Gurugram +73 other locations,2k,9.1k,179,--,215,16
Kansai Nerolac Paints,3.8,Chemicals,Mumbai +201 other locations,2k,6.8k,145,11,201,3
Lifestyle,4.3,Retail,Bangalore / Bengaluru +122 other locations,2k,6.8k,62,2,293,9
Akums Drugs & Pharmaceuticals Limited,4.4,Pharma,Haridwar +32 other locations,2k,5.9k,293,13,236,22
Datamatics Global Services,3.4,IT Services & Consulting,Mumbai +30 other locations,1.9k,11.5k,156,59,198,5
Mahindra Rural Housing Finance,4.0,NBFC,Mumbai +429 other locations,1.9k,4.9k,82,21,186,3
State Street Syntel,3.7,Financial Services,Pune +22 other locations,1.9k,9.2k,74,--,289,--
Aditya Birla Group,4.1,Building Material,Mumbai +230 other locations,1.9k,10.1k,196,2,264,3
suzuki motor gujarat,4.3,Automobile,Ahmedabad +105 other locations,1.9k,7.2k,172,16,206,1
Info Edge,3.9,Internet,Noida +62 other locations,1.9k,10.8k,318,503,318,17
Ola Cabs,3.4,Internet,Bangalore / Bengaluru +96 other locations,1.9k,10.8k,142,17,247,10
Foundever,3.6,BPO,Hyderabad / Secunderabad +17 other locations,1.9k,7.4k,140,86,231,13
Unacademy,3.0,EdTech,Bangalore / Bengaluru +65 other locations,1.9k,9.6k,208,40,166,41
Cholamandalam MS General Insurance,3.8,Insurance,Chennai +342 other locations,1.9k,5.8k,89,--,167,4
Delhi Public School,3.8,Unknown,New Delhi +248 other locations,1.9k,5.4k,109,13,274,7
Myntra,4.0,Internet,Bangalore / Bengaluru +100 other locations,1.9k,9.7k,215,75,324,16
Cybage,3.8,IT Services & Consulting,Pune +9 other locations,1.9k,16.7k,196,36,297,4
Eureka Forbes,3.7,Consumer Electronics & Appliances,Mumbai +166 other locations,1.9k,5.6k,68,--,236,1
Extramarks Education,3.4,EdTech,Noida +105 other locations,1.9k,7.9k,168,18,158,2
3i Infotech,3.5,IT Services & Consulting,Mumbai +113 other locations,1.9k,10.8k,141,37,163,1
Kalyan Jewellers,4.6,Jewellery,Thrissur +137 other locations,1.9k,1.4k,56,14,69,3
Mahindra Holidays & Resorts,3.5,Hospitality,Mumbai +101 other locations,1.9k,6k,91,53,210,16
Parle Agro,4.1,Beverage,Mumbai +208 other locations,1.9k,6.4k,101,7,224,--
BT Group,4.0,Unknown,Gurgaon / Gurugram +18 other locations,1.9k,10.6k,177,23,291,--
Ninjacart,4.0,Internet,Bangalore / Bengaluru +101 other locations,1.9k,5.8k,94,5,149,23
Emcure Pharmaceuticals,3.7,Unknown,Pune +101 other locations,1.9k,8.1k,99,27,251,13
Radisson Hotels,4.0,Unknown,New Delhi +111 other locations,1.9k,5.5k,73,78,321,8
ICICI Securities,3.9,Financial Services,Mumbai +131 other locations,1.9k,8.9k,154,1,195,4
Syngene International,3.9,Clinical Research,Bangalore / Bengaluru +18 other locations,1.9k,11.4k,157,49,241,16
Nokia Networks,4.3,Hardware & Networking,Chennai +80 other locations,1.9k,11.8k,110,--,28,--
Biocon Limited,3.9,Biotechnology,Bangalore / Bengaluru +57 other locations,1.9k,11.5k,149,19,25,--
Gallagher,3.8,Insurance,Bangalore / Bengaluru +23 other locations,1.9k,11.5k,212,45,134,1
JCB,4.0,Unknown,Pune +96 other locations,1.8k,9k,121,--,267,5
Care Health Insurance,3.6,FinTech,New Delhi +209 other locations,1.8k,7.9k,112,55,180,1
Intellect Design Arena,4.0,Software Product,Chennai +34 other locations,1.8k,11.7k,157,2,231,8
Google,4.4,Software Product,Bangalore / Bengaluru +79 other locations,1.8k,17.5k,870,3,160,16
Canara HSBC Life Insurance,3.7,Insurance,Gurgaon / Gurugram +267 other locations,1.8k,6.2k,95,12,177,2
Planet Spark,3.7,EdTech,Gurgaon / Gurugram +43 other locations,1.8k,2.9k,364,62,222,1
Life Insurance Corporation of India,4.4,Insurance,New Delhi +432 other locations,1.8k,4.4k,74,4,252,7
ESAF Small Finance Bank,3.8,Banking,Thrissur +328 other locations,1.8k,6.4k,108,7,109,13
Cadila Pharmaceuticals,3.5,Pharma,Ahmedabad +116 other locations,1.8k,7.1k,117,22,191,13
IntouchCX,2.9,BPO,Hyderabad / Secunderabad +18 other locations,1.8k,8k,190,139,165,17
Adani Power,3.9,Power,Mundra +102 other locations,1.8k,8.2k,210,--,184,8
upGrad,3.7,EdTech,Mumbai +41 other locations,1.8k,8.1k,206,70,150,18
Bharat Financial Inclusion,3.9,NBFC,Hyderabad / Secunderabad +384 other locations,1.8k,4.2k,66,10,192,14
GlaxoSmithKline Pharmaceuticals,4.1,Pharma,Bangalore / Bengaluru +190 other locations,1.8k,5.4k,103,53,126,1
Indian Railways,4.1,Railways,Kolkata +217 other locations,1.8k,3.5k,83,--,172,17
DBS Bank,3.8,Banking,Hyderabad / Secunderabad +151 other locations,1.8k,12.1k,154,121,199,11
Star Health & Allied Insurance,3.7,Insurance,Chennai +277 other locations,1.8k,8.1k,103,17,174,5
RMSI,3.6,IT Services & Consulting,Hyderabad / Secunderabad +18 other locations,1.8k,7.8k,115,23,191,1
Sobha,3.9,Real Estate,Bangalore / Bengaluru +35 other locations,1.8k,7.9k,124,49,224,8
Photon Interactive,4.0,IT Services & Consulting,Chennai +12 other locations,1.8k,6.8k,105,277,184,--
Sopra Steria,3.8,IT Services & Consulting,Noida +16 other locations,1.8k,13.4k,125,182,270,6
Reliance Trends,4.3,Retail,Bangalore / Bengaluru +353 other locations,1.8k,4.4k,101,--,228,10
Whirlpool,4.0,Consumer Electronics & Appliances,Pune +146 other locations,1.8k,7.8k,92,3,217,9
Cisco,4.1,Hardware & Networking,Bangalore / Bengaluru +36 other locations,1.8k,17.3k,396,42,243,15
Pfizer,4.0,Pharma,Visakhapatnam +116 other locations,1.8k,5.8k,69,28,287,6
Aavas Financiers,3.9,NBFC,Jaipur +251 other locations,1.8k,5.6k,85,67,138,5
Renault-Nissan,4.2,Unknown,Chennai +78 other locations,1.7k,7.5k,101,--,278,9
Hero FinCorp,4.0,NBFC,New Delhi +349 other locations,1.7k,5k,87,36,138,2
Bharti AXA Life Insurance,3.9,Insurance,Mumbai +224 other locations,1.7k,5.1k,117,6,177,4
Shahi Exports,4.0,Fashion & Textile,Bangalore / Bengaluru +61 other locations,1.7k,6.8k,99,55,246,25
Raymond Lifestyle Limited,4.1,Fashion & Textile,Mumbai +131 other locations,1.7k,6.9k,88,3,240,8
Bureau Veritas,3.9,Other,Noida +118 other locations,1.7k,7.6k,107,20,189,12
Straive,3.4,Analytics & KPO,Chennai +25 other locations,1.7k,9.1k,171,35,135,15
GVK Emergency Management and Research Institute,3.6,Unknown,Lucknow +167 other locations,1.7k,4.3k,82,7,191,--
Endurance Technologies,3.9,Auto Components,Aurangabad +44 other locations,1.7k,7.4k,100,3,249,--
Ambuja Cements,3.9,Building Material,Mumbai +215 other locations,1.7k,6k,107,--,218,6
Rivigo,3.9,Internet,Gurgaon / Gurugram +152 other locations,1.7k,6.2k,72,--,242,9
Lodha Group,4.0,Real Estate,Mumbai +22 other locations,1.7k,7.9k,122,129,205,7
Optum Global Solutions,4.1,IT Services & Consulting,Hyderabad / Secunderabad +14 other locations,1.7k,9.6k,177,--,186,--
Kia Motors,3.9,Automobile,Anantapur +154 other locations,1.7k,7.4k,129,1,186,12
Bharat Petroleum,4.2,Oil & Gas,Mumbai +236 other locations,1.7k,6.5k,155,--,197,13
HSBC Electronic Data Processing,4.1,Banking,Bangalore / Bengaluru +17 other locations,1.7k,8.8k,57,2,19,--
Alldigi Tech,3.8,BPO,Chennai +30 other locations,1.7k,6.9k,120,28,136,31
BHEL,4.1,Electrical Equipment,Bangalore / Bengaluru +100 other locations,1.7k,5.2k,109,--,227,9
Force Motors,3.6,Automobile,Pune +87 other locations,1.7k,7.9k,116,1,178,5
Future Retail,4.3,Retail,Mumbai +197 other locations,1.7k,5.4k,53,--,263,--
Niva Bupa Health Insurance Company,3.7,Insurance,New Delhi +207 other locations,1.7k,7.2k,115,26,127,4
Tata Advanced Systems,3.7,Defence & Aerospace,Bangalore / Bengaluru +42 other locations,1.7k,10.3k,128,6,160,6
Renault Nissan Technology & Business Centre India,3.8,Automobile,Chennai +15 other locations,1.7k,13.6k,122,34,243,8
Senco Gold,4.5,Jewellery,Kolkata +69 other locations,1.7k,1.3k,535,7,58,4
Poonawalla Fincorp,3.8,NBFC,Pune +250 other locations,1.7k,5k,56,16,137,--
Panasonic Life Solutions India,4.1,Consumer Electronics & Appliances,Haridwar +131 other locations,1.7k,5.9k,68,14,120,6
CAMS,3.7,Financial Services,Chennai +93 other locations,1.7k,7.6k,111,21,61,6
Meesho,3.7,Internet,Bangalore / Bengaluru +103 other locations,1.7k,7.3k,329,158,310,12
Henry Harvin Education,3.9,Unknown,Noida +27 other locations,1.7k,736,12,43,137,2
ValueLabs,3.7,IT Services & Consulting,Hyderabad / Secunderabad +16 other locations,1.7k,14.8k,191,104,295,11
Bank of Baroda,3.6,Banking,Mumbai +266 other locations,1.7k,6.3k,103,1,157,13
Laurus Labs,4.2,Pharma,Visakhapatnam +20 other locations,1.7k,6.8k,105,7,236,9
Coromandel International,4.1,Agro Chemicals,Visakhapatnam +156 other locations,1.7k,6.9k,95,--,235,--
Apollo Pharmacy,3.9,Unknown,Hyderabad / Secunderabad +228 other locations,1.7k,5.6k,116,11,132,5
GAO Tek,4.5,Electrical Equipment,New York +27 other locations,1.7k,207,148,13,82,1
Cargill,4.0,Food Processing,Bangalore / Bengaluru +101 other locations,1.7k,7.5k,94,81,167,7
Microsoft Corporation,4.0,Software Product,Bangalore / Bengaluru +40 other locations,1.6k,21.2k,575,--,227,7
Delphi TVS,3.9,Auto Components,Chennai +46 other locations,1.6k,5.5k,82,1,212,--
Brakes India,4.0,Auto Components,Chennai +79 other locations,1.6k,6.7k,70,2,210,2
American Broadcasting Company,4.0,Unknown,Mumbai +99 other locations,1.6k,22.8k,547,2,9,--
Adani Wilmar,4.2,FMCG,Ahmedabad +170 other locations,1.6k,6.3k,103,14,177,6
Future Generali India Life Insurance,3.7,Insurance,Mumbai +174 other locations,1.6k,6.5k,91,149,167,2
TCE,3.8,Engineering & Construction,Mumbai +113 other locations,1.6k,7.7k,244,72,177,9
Sagility,3.9,BPO,Bangalore / Bengaluru +22 other locations,1.6k,7.4k,160,43,61,84
SAP,4.2,Software Product,Bangalore / Bengaluru +50 other locations,1.6k,14.5k,308,274,322,12
ITC Hotels,4.1,Unknown,Bangalore / Bengaluru +78 other locations,1.6k,5.4k,81,--,212,9
Sify Technologies,3.9,IT Services & Consulting,Chennai +114 other locations,1.6k,9.4k,121,25,160,3
Dhani Loans and Services,3.8,NBFC,Gurgaon / Gurugram +179 other locations,1.6k,5.1k,69,1,51,1
Tata Motors Finance,4.1,NBFC,Mumbai +237 other locations,1.6k,4.5k,64,1,156,12
Wipro Enterprises Ltd,3.8,FMCG,Bangalore / Bengaluru +198 other locations,1.6k,7.1k,154,90,454,--
Allstate,3.9,Insurance,Pune +10 other locations,1.6k,10.8k,131,30,217,6
KENT RO Systems,4.0,Consumer Electronics & Appliances,Noida +139 other locations,1.6k,4.6k,77,3,119,19
Exl India,3.5,Logistics,New Delhi +28 other locations,1.6k,11.2k,100,1,178,1
CitiusTech,3.4,IT Services & Consulting,Mumbai +17 other locations,1.6k,12.7k,267,8,181,6
Aditya Birla Capital,3.9,Financial Services,Mumbai +222 other locations,1.6k,8k,147,--,166,24
Star Union Dai-ichi Life Insurance,3.9,Insurance,Mumbai +264 other locations,1.6k,4.8k,86,71,112,3
SBI Securities,3.8,Financial Services,Mumbai +250 other locations,1.6k,6k,143,82,110,19
Spark Minda,3.9,Auto Components,Pune +60 other locations,1.6k,6.2k,119,4,47,18
SBI General Insurance,3.7,Insurance,Mumbai +238 other locations,1.6k,5.8k,97,26,139,5
YASH Technologies,3.8,IT Services & Consulting,Hyderabad / Secunderabad +24 other locations,1.6k,15.6k,142,363,187,34
Ola Electric Mobility,3.3,Automobile,Bangalore / Bengaluru +232 other locations,1.6k,7.4k,208,--,84,14
Kotak Securities,3.6,Financial Services,Mumbai +123 other locations,1.6k,8.7k,113,22,160,3
Gabriel India,4.1,Auto Components,Hosur +43 other locations,1.6k,5.5k,95,--,264,--
Matrimony.com,4.3,Internet,Chennai +57 other locations,1.6k,4.4k,89,28,90,--
L&T Energy Hydrocarbon,3.9,Engineering & Construction,Vadodara +75 other locations,1.6k,8.2k,92,1,211,7
NeoSOFT,4.0,IT Services & Consulting,Mumbai +20 other locations,1.6k,9.3k,260,17,174,26
AECOM,4.3,Engineering & Construction,Gurgaon / Gurugram +113 other locations,1.6k,6.2k,111,112,258,14
Sterling & Wilson,4.1,Engineering & Construction,Mumbai +104 other locations,1.6k,7.8k,63,2,209,4
Power Mech Projects,3.9,Engineering & Construction,Hyderabad / Secunderabad +125 other locations,1.6k,6.3k,93,5,167,4
IDBI Bank,3.5,Banking,Mumbai +298 other locations,1.6k,5.8k,67,--,142,6
Crisil,3.7,Analytics & KPO,Mumbai +64 other locations,1.6k,11.3k,185,432,251,18
JK Tyres,3.7,Auto Components,Chennai +131 other locations,1.6k,6.5k,91,--,198,3
Physicswallah,3.8,EdTech,Noida +87 other locations,1.6k,5.1k,191,28,34,9
Parle Products,3.9,FMCG,Mumbai +212 other locations,1.6k,4.1k,88,7,213,3
Lucas-TVS,4.0,Auto Components,Chennai +66 other locations,1.5k,5.8k,71,3,232,4
Saint-Gobain,4.0,Engineering & Construction,Mumbai +93 other locations,1.5k,9.7k,171,45,262,9
Novartis,4.1,Pharma,Hyderabad / Secunderabad +70 other locations,1.5k,8.6k,140,252,248,22
Uflex,3.8,Packaging,Noida +43 other locations,1.5k,6.5k,104,49,129,9
Adani Group,3.9,Power,Ahmedabad +151 other locations,1.5k,8.7k,178,246,111,5
Thomson Reuters,4.1,Software Product,Bangalore / Bengaluru +24 other locations,1.5k,10.1k,112,2,245,--
Reliance General Insurance,3.7,Insurance,Mumbai +179 other locations,1.5k,6.8k,79,--,143,1
Hindustan Aeronautics,4.3,Defence & Aerospace,Bangalore / Bengaluru +48 other locations,1.5k,4.2k,72,--,181,2
Paisabazaar.com,3.5,Internet,Gurgaon / Gurugram +26 other locations,1.5k,6.6k,138,45,107,24
Mercedes-Benz Research and Development India,3.9,IT Services & Consulting,Bangalore / Bengaluru +46 other locations,1.5k,15.2k,188,117,239,7
Vedantu,3.4,EdTech,Bangalore / Bengaluru +62 other locations,1.5k,9.1k,192,19,164,7
Safexpress,4.0,Logistics,New Delhi +147 other locations,1.5k,5.4k,97,2,151,27
Microland,3.5,IT Services & Consulting,Bangalore / Bengaluru +42 other locations,1.5k,10.8k,124,299,169,5
SGS,3.9,Other,Mumbai +121 other locations,1.5k,6k,91,18,191,--
Team Computers,3.6,IT Services & Consulting,New Delhi +90 other locations,1.5k,7.9k,89,37,123,1
Dr Lal PathLabs,4.2,Healthcare,New Delhi +163 other locations,1.5k,4.3k,123,29,204,3
Philips,3.9,Consumer Electronics & Appliances,Bangalore / Bengaluru +84 other locations,1.5k,10.1k,156,50,199,9
Nuvoco Vistas,4.1,Building Material,Kolkata +163 other locations,1.5k,6.1k,90,15,143,5
Morgan Stanley,3.7,Financial Services,Mumbai +17 other locations,1.5k,20.4k,306,8,177,8
G R Infraprojects,4.1,Engineering & Construction,Gurgaon / Gurugram +140 other locations,1.5k,5.2k,130,24,170,4
NCR Voyix,3.9,Software Product,Hyderabad / Secunderabad +85 other locations,1.5k,8.1k,124,36,15,--
Narayana Health,4.1,Healthcare,Bangalore / Bengaluru +61 other locations,1.5k,5.6k,61,45,149,--
TaskUs,3.4,BPO,Indore +29 other locations,1.5k,6.8k,171,80,131,10
Frankfinn Institute of Air Hostess Training,4.0,Education & Training,Gurgaon / Gurugram +60 other locations,1.5k,3.3k,99,17,196,259
café Coffee day,3.8,Hospitality,Bangalore / Bengaluru +98 other locations,1.5k,4.1k,59,7,187,2
Biological E,4.2,Pharma,Hyderabad / Secunderabad +58 other locations,1.5k,6.4k,108,12,236,--
BNP Paribas,3.8,Financial Services,Mumbai +24 other locations,1.5k,14.3k,176,22,190,8
Aragen Life Sciences,4.0,Clinical Research,Hyderabad / Secunderabad +22 other locations,1.5k,6k,102,12,331,17
TVS Sundram Fasteners,3.7,Auto Components,Chennai +52 other locations,1.5k,6.7k,70,--,217,2
Honda Cars,4.4,Automobile,Bhiwadi +102 other locations,1.5k,6.3k,87,--,204,2
Honeywell Automation,3.8,Industrial Automation,Pune +69 other locations,1.5k,10.9k,104,--,178,--
Tata Teleservices,4.0,Telecom,Mumbai +135 other locations,1.5k,4k,30,38,264,3
Taurus BPO Services,4.5,BPO,Pune +15 other locations,1.5k,824,25,--,525,6
FirstCry,3.7,Internet,Pune +167 other locations,1.5k,7.9k,164,20,89,6
NTPC,4.2,Power,New Delhi +106 other locations,1.5k,4k,159,--,190,14
Angel One,3.9,FinTech,Mumbai +117 other locations,1.5k,7.1k,131,83,168,4
HCL Infosystems,3.9,IT Services & Consulting,Bangalore / Bengaluru +105 other locations,1.5k,8.6k,141,--,235,--
SS&C TECHNOLOGIES,3.4,IT Services & Consulting,Mumbai +28 other locations,1.5k,12.3k,167,74,209,12
Medi Assist India,3.6,Insurance,Bangalore / Bengaluru +57 other locations,1.5k,6.9k,113,39,148,--
Daikin,4.2,Consumer Electronics & Appliances,Neemrana +95 other locations,1.5k,6.5k,143,2,152,1
NEC,4.4,IT Services & Consulting,Noida +49 other locations,1.5k,5.5k,70,7,160,73
Fusion CX,3.5,Unknown,Kolkata +45 other locations,1.5k,4.1k,98,108,107,14
Iris Software,4.0,IT Services & Consulting,Noida +19 other locations,1.5k,6.8k,139,37,305,10
V-Guard Industries,4.4,Consumer Electronics & Appliances,Kochi +142 other locations,1.5k,4k,61,20,284,17
Indian Navy,4.6,Defence & Aerospace,Mumbai +66 other locations,1.5k,3.5k,21,--,256,--
MetLife,4.2,Insurance,Noida +40 other locations,1.5k,7.9k,84,26,252,--
R.R. Donnelley,3.9,Marketing & Advertising,Chennai +15 other locations,1.5k,9.3k,99,19,299,1
BA Continuum,4.2,NBFC,Hyderabad / Secunderabad +17 other locations,1.4k,9.9k,98,--,306,--
CMS Infosystems,3.6,Other,Mumbai +181 other locations,1.4k,4.5k,50,20,109,3
Adecco Group,3.7,Unknown,Bangalore / Bengaluru +148 other locations,1.4k,6.5k,87,12,141,--
Tata Play,4.0,Broadcasting,Mumbai +207 other locations,1.4k,4.8k,70,4,187,10
Infinite Computer Solutions,3.4,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,1.4k,12.3k,138,201,112,16
Innovsource Services,4.0,Recruitment,Mumbai +210 other locations,1.4k,4.5k,61,1,130,5
Trident Group,3.5,Fashion & Textile,Ludhiana +51 other locations,1.4k,5.2k,111,5,143,20
Globiva,3.1,BPO,Gurgaon / Gurugram +20 other locations,1.4k,4.7k,102,28,96,7
Torrent Power,3.7,Power,Ahmedabad +44 other locations,1.4k,7k,125,40,168,5
Honda,4.2,Automobile,Gurgaon / Gurugram +208 other locations,1.4k,4.9k,99,3,215,8
AXA Business Services,3.9,Insurance,Pune +9 other locations,1.4k,6.9k,74,61,178,5
PI Industries,4.0,Agro Chemicals,Bharuch +92 other locations,1.4k,6.4k,104,11,180,9
