Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
Bajaj Electricals,4,Consumer Electronics & Appliances,Mumbai +206 other locations,7900,120,33,2200
Yazaki,3.8,Auto Components,Pune +76 other locations,8100,131,1,2100
Sterlite Technologies,3.8,Hardware & Networking,Aurangabad +89 other locations,10300,163,27,2100
G4S,4,Law Enforcement & Security,Gurgaon / Gurugram +142 other locations,4900,95,1,2100
Axis Direct,3.8,Financial Services,Mumbai +260 other locations,5500,76,34,2100
Britannia,4,FMCG,Bangalore / Bengaluru +250 other locations,7500,162,2,2100
DS Group,4,FMCG,Noida +227 other locations,7000,143,26,2100
KocharTech,4,IT Services & Consulting,Kolkata +24 other locations,3900,68,39,2100
Shree Cement,3.8,Building Material,Ajmer +220 other locations,9200,150,2,2100
Micro Labs,3.7,Pharma,Bangalore / Bengaluru +133 other locations,9400,124,23,2100
Fujitsu,3.8,IT Services & Consulting,Pune +35 other locations,16000,183,51,2100
Capgemini Engineering,3.5,IT Services & Consulting,Bangalore / Bengaluru +25 other locations,17200,353,98,2100
KPMG Global Services,3.6,Management Consulting,Bangalore / Bengaluru +33 other locations,19500,219,278,2100
XpressBees,3.7,Logistics,Pune +255 other locations,7600,157,11,2100
McDonald's,4.1,Food Processing,New Delhi +140 other locations,4700,130,3,2100
Exide Industries,3.5,Auto Components,Kolkata +191 other locations,7800,165,58,2100
